Estimated Position_x,Measured Position_x,Estimated Position_y,Measured Position_y,Error_x,Error_y
0.299999999,0.299999999,0.300067916,0.300067916,0.0,0.0
0.299999999,0.299999999,0.300067916,0.300067916,0.0,0.0
0.299999999,0.300000006,0.300067916,0.49759797,6.9999999685599334e-09,0.197530054
0.299999999,0.300000007,0.300067916,0.519495249,7.999999995789153e-09,0.219427333
0.299999999,0.300000017,0.385743608,0.714167374,1.7999999990525595e-08,0.32842376599999995
0.299999999,0.300000027,0.385743608,0.932751977,2.7999999985262036e-08,0.547008369
0.299999999,0.330072521,0.385743608,1.1429275,0.03007252199999999,0.757183892
0.299999999,0.457799309,0.385743608,1.284854769,0.15779930999999997,0.899111161
0.299999999,0.641722209,0.385743608,1.347235939,0.34172220999999997,0.9614923309999999
0.299999999,0.836833365,0.49556612,1.345945923,0.536833366,0.8503798029999999
0.299999999,1.058180124,0.49556612,1.355257958,0.758180125,0.8596918379999999
0.299999999,1.252052502,0.49556612,1.244554824,0.952052503,0.748988704
0.299999999,1.334975049,0.49556612,1.072472726,1.0349750500000001,0.576906606
0.299999999,1.350771253,0.49556612,0.866999771,1.050771254,0.37143365100000003
0.299999999,1.372300116,0.691817298,0.651896049,1.072300117,-0.03992124900000005
0.299999999,1.276317278,0.691817298,0.468610318,0.9763172790000001,-0.22320698
0.299999999,1.110149794,0.691817298,0.374393692,0.8101497950000001,-0.317423606
0.299999999,0.904674594,0.691817298,0.330082858,0.6046745950000001,-0.36173444000000005
0.299999999,0.704020544,0.691817298,0.261401767,0.404020545,-0.430415531
0.299999999,0.517283597,0.891087737,0.258922202,0.21728359800000002,-0.632165535
0.299999999,0.393204035,0.891087737,0.247286578,0.09320403599999999,-0.643801159
0.299999999,0.325815785,0.891087737,0.26814499,0.025815786000000007,-0.622942747
0.299999999,0.331511589,0.891087737,0.264551189,0.03151158999999998,-0.626536548
0.299999999,0.303393882,0.891087737,0.268452529,0.0033938829999999864,-0.6226352079999999
0.299999999,0.36201385,0.891087737,0.261672947,0.06201385100000001,-0.62941479
0.320483936,0.252274072,1.10902098,0.274406196,-0.06820986400000001,-0.834614784
0.320483936,0.407781153,1.10902098,0.254432056,0.08729721699999998,-0.854588924
0.320483936,0.237378712,1.10902098,0.275097673,-0.08310522400000003,-0.833923307
0.320483936,0.369295034,1.10902098,0.256388302,0.048811098,-0.852632678
0.320483936,0.198914588,1.10902098,0.277290265,-0.12156934800000002,-0.831730715
0.448645816,0.348907556,1.259088979,0.256276213,-0.09973825999999997,-1.002812766
0.448645816,0.178549956,1.259088979,0.277417183,-0.27009585999999997,-0.9816717959999999
0.448645816,0.292332017,1.259088979,0.260417944,-0.15631379899999998,-0.9986710349999999
0.448645816,0.140087203,1.259088979,0.279661262,-0.308558613,-0.9794277169999999
0.448645816,0.308114849,1.259088979,0.255999484,-0.14053096699999995,-1.003089495
0.640045691,0.137805367,1.300067916,0.277626752,-0.502240324,-1.022441164
0.640045691,0.292436275,1.300067916,0.260607267,-0.34760941599999995,-1.039460649
0.640045691,0.122138416,1.300067916,0.282358107,-0.517907275,-1.0177098089999999
0.640045691,0.30612528,1.300067916,0.261829252,-0.333920411,-1.0382386639999999
0.640045691,0.30612528,1.300067916,0.261829252,-0.333920411,-1.0382386639999999
0.840479899,0.30612528,1.300067916,0.261829252,-0.5343546189999999,-1.0382386639999999
0.840479899,0.30612528,1.300067916,0.261829252,-0.5343546189999999,-1.0382386639999999
0.840479899,0.30612528,1.300067916,0.261829252,-0.5343546189999999,-1.0382386639999999
0.840479899,0.30612528,1.300067916,0.261829252,-0.5343546189999999,-1.0382386639999999
0.840479899,0.30612528,1.300067916,0.261829252,-0.5343546189999999,-1.0382386639999999
1.059662851,0.30612528,1.294075304,0.261829252,-0.7535375709999999,-1.0322460519999999
1.059662851,0.30612528,1.294075304,0.261829252,-0.7535375709999999,-1.0322460519999999
1.059662851,0.30612528,1.294075304,0.261829252,-0.7535375709999999,-1.0322460519999999
1.059662851,0.30612528,1.294075304,0.261829252,-0.7535375709999999,-1.0322460519999999
1.059662851,0.30612528,1.294075304,0.261829252,-0.7535375709999999,-1.0322460519999999
1.228530752,0.30612528,1.194422475,0.261829252,-0.9224054719999999,-0.932593223
1.228530752,0.30612528,1.194422475,0.261829252,-0.9224054719999999,-0.932593223
1.228530752,0.30612528,1.194422475,0.261829252,-0.9224054719999999,-0.932593223
1.228530752,0.30612528,1.194422475,0.261829252,-0.9224054719999999,-0.932593223
1.228530752,0.30612528,1.194422475,0.261829252,-0.9224054719999999,-0.932593223
1.29990849,0.30612528,1.007477162,0.261829252,-0.9937832099999999,-0.74564791
1.29990849,0.30612528,1.007477162,0.261829252,-0.9937832099999999,-0.74564791
1.29990849,0.30612528,1.007477162,0.261829252,-0.9937832099999999,-0.74564791
1.29990849,0.30612528,1.007477162,0.261829252,-0.9937832099999999,-0.74564791
1.29990849,0.30612528,1.007477162,0.261829252,-0.9937832099999999,-0.74564791
1.29990849,0.30612528,1.007477162,0.261829252,-0.9937832099999999,-0.74564791
1.299999999,0.30612528,0.79071232,0.261829252,-0.9938747189999999,-0.5288830680000001
1.299999999,0.30612528,0.79071232,0.261829252,-0.9938747189999999,-0.5288830680000001
1.299999999,0.30612528,0.79071232,0.261829252,-0.9938747189999999,-0.5288830680000001
1.299999999,0.30612528,0.79071232,0.261829252,-0.9938747189999999,-0.5288830680000001
1.299999999,0.30612528,0.79071232,0.261829252,-0.9938747189999999,-0.5288830680000001
1.299865926,0.30612528,0.591099847,0.261829252,-0.993740646,-0.32927059499999994
1.299865926,0.30612528,0.591099847,0.261829252,-0.993740646,-0.32927059499999994
1.299865926,0.30612528,0.591099847,0.261829252,-0.993740646,-0.32927059499999994
1.299865926,0.30612528,0.591099847,0.261829252,-0.993740646,-0.32927059499999994
1.299865926,0.30612528,0.591099847,0.261829252,-0.993740646,-0.32927059499999994
1.229275778,0.30612528,0.406592808,0.261829252,-0.923150498,-0.14476355599999996
1.229275778,0.30612528,0.406592808,0.261829252,-0.923150498,-0.14476355599999996
1.229275778,0.30612528,0.406592808,0.261829252,-0.923150498,-0.14476355599999996
1.229275778,0.30612528,0.406592808,0.261829252,-0.923150498,-0.14476355599999996
1.229275778,0.30612528,0.406592808,0.261829252,-0.923150498,-0.14476355599999996
1.042469732,0.30612528,0.30308926,0.261829252,-0.736344452,-0.041260008000000015
1.042469732,0.30612528,0.30308926,0.261829252,-0.736344452,-0.041260008000000015
1.042469732,0.30612528,0.30308926,0.261829252,-0.736344452,-0.041260008000000015
1.042469732,0.30612528,0.30308926,0.261829252,-0.736344452,-0.041260008000000015
1.042469732,0.30612528,0.30308926,0.261829252,-0.736344452,-0.041260008000000015
0.842653509,0.30612528,0.300067916,0.261829252,-0.536528229,-0.03823866399999998
0.842653509,0.30612528,0.300067916,0.261829252,-0.536528229,-0.03823866399999998
0.842653509,0.30612528,0.300067916,0.261829252,-0.536528229,-0.03823866399999998
0.842653509,0.30612528,0.300067916,0.261829252,-0.536528229,-0.03823866399999998
0.842653509,0.30612528,0.300067916,0.261829252,-0.536528229,-0.03823866399999998
0.842653509,0.30612528,0.300067916,0.261829252,-0.536528229,-0.03823866399999998
0.622281118,0.30612528,0.300067916,0.261829252,-0.31615583799999997,-0.03823866399999998
0.622281118,0.30612528,0.300067916,0.261829252,-0.31615583799999997,-0.03823866399999998
0.622281118,0.30612528,0.300067916,0.261829252,-0.31615583799999997,-0.03823866399999998
0.622281118,0.30612528,0.300067916,0.261829252,-0.31615583799999997,-0.03823866399999998
0.622281118,0.30612528,0.300067916,0.261829252,-0.31615583799999997,-0.03823866399999998
0.460983441,0.30612528,0.300067916,0.261829252,-0.154858161,-0.03823866399999998
0.460983441,0.30612528,0.300067916,0.261829252,-0.154858161,-0.03823866399999998
0.460983441,0.30612528,0.300067916,0.261829252,-0.154858161,-0.03823866399999998
0.460983441,0.30612528,0.300067916,0.261829252,-0.154858161,-0.03823866399999998
0.460983441,0.30612528,0.300067916,0.261829252,-0.154858161,-0.03823866399999998
0.351369951,0.30612528,0.300067916,0.261829252,-0.045244671000000014,-0.03823866399999998
0.351369951,0.30612528,0.300067916,0.261829252,-0.045244671000000014,-0.03823866399999998
0.351369951,0.30612528,0.300067916,0.261829252,-0.045244671000000014,-0.03823866399999998
0.351369951,0.30612528,0.300067916,0.261829252,-0.045244671000000014,-0.03823866399999998
0.351369951,0.30612528,0.300067916,0.261829252,-0.045244671000000014,-0.03823866399999998
0.351369951,0.30612528,0.300067916,0.261829252,-0.045244671000000014,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
0.299999999,0.30612528,0.300067916,0.261829252,0.0061252809999999824,-0.03823866399999998
